
2023/08/10 (02:10:35) | ===> btop++ v.1.2.13
2023/08/10 (02:10:35) | ERROR: Stall in Runner thread, restarting!

2024/01/13 (21:21:49) | ===> btop++ v.1.3.0
2024/01/13 (21:21:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/13 (21:21:50) | ===> btop++ v.1.3.0
2024/01/13 (21:21:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/13 (21:22:09) | ===> btop++ v.1.3.0
2024/01/13 (21:22:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/13 (21:38:44) | ===> btop++ v.1.3.0
2024/01/13 (21:38:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/13 (22:01:27) | ===> btop++ v.1.3.0
2024/01/13 (22:01:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/14 (04:10:02) | ===> btop++ v.1.3.0
2024/01/14 (04:10:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/14 (04:10:08) | ===> btop++ v.1.3.0
2024/01/14 (04:10:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/14 (21:25:43) | ===> btop++ v.1.3.0
2024/01/14 (21:25:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/15 (22:44:37) | ===> btop++ v.1.3.0
2024/01/15 (22:44:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/19 (02:14:13) | ===> btop++ v.1.3.0
2024/01/19 (02:14:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/19 (02:14:24) | ===> btop++ v.1.3.0
2024/01/19 (02:14:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/23 (19:46:44) | ===> btop++ v.1.3.0
2024/01/23 (19:46:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/23 (21:52:47) | ===> btop++ v.1.3.0
2024/01/23 (21:52:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/23 (22:31:03) | ===> btop++ v.1.3.0
2024/01/23 (22:31:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/26 (22:24:26) | ===> btop++ v.1.3.0
2024/01/26 (22:24:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/26 (22:24:38) | ===> btop++ v.1.3.0
2024/01/26 (22:24:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/26 (22:26:54) | ===> btop++ v.1.3.0
2024/01/26 (22:26:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/01/29 (16:24:58) | ===> btop++ v.1.3.0
2024/01/29 (16:24:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/01 (22:04:55) | ===> btop++ v.1.3.0
2024/02/01 (22:04:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/10 (14:03:02) | ===> btop++ v.1.3.0
2024/02/10 (14:03:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/06/25 (11:32:57) | ===> btop++ v.1.3.2
2024/06/25 (11:32:57) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount718854079" with statvfs error code: 13. Ignoring...

2024/07/02 (11:14:28) | ===> btop++ v.1.3.2
2024/07/02 (11:14:28) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount867640473" with statvfs error code: 13. Ignoring...
2024/07/02 (11:33:51) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount740292060" with statvfs error code: 13. Ignoring...
2024/07/02 (11:39:13) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount3234715954" with statvfs error code: 13. Ignoring...
2024/07/02 (12:41:57) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount1914072710" with statvfs error code: 13. Ignoring...

2024/07/04 (13:29:46) | ===> btop++ v.1.3.2
2024/07/04 (13:29:46) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount2679386477" with statvfs error code: 13. Ignoring...
2024/07/04 (13:36:41) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount517752449" with statvfs error code: 13. Ignoring...
2024/07/04 (13:40:08) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount2944448055" with statvfs error code: 13. Ignoring...
2024/07/04 (14:01:51) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount1643050152" with statvfs error code: 13. Ignoring...

2024/07/04 (17:22:17) | ===> btop++ v.1.3.2
2024/07/04 (17:22:17) | WARNING: Failed to get disk/partition stats for mount "/var/lib/docker/tmp/buildkit-mount1778594762" with statvfs error code: 13. Ignoring...
